Date,High,Low,Open,Close,Volume,Adj Close
2020-12-14,3190.469970703125,3126.0,3143.0,3156.969970703125,4155794,3156.969970703125
2020-12-15,3188.5,3130.489990234375,3181.010009765625,3165.1201171875,3323686,3165.1201171875
2020-12-16,3247.0,3163.679931640625,3176.010009765625,3240.9599609375,4427616,3240.9599609375
2020-12-17,3263.510009765625,3221.0,3250.0,3236.080078125,3474347,3236.080078125
2020-12-18,3249.419921875,3171.60009765625,3243.989990234375,3201.64990234375,5995713,3201.64990234375
2020-12-21,3226.966552734375,3166.0,3200.010009765625,3206.179931640625,3836846,3206.179931640625
2020-12-22,3222.0,3180.080078125,3202.843505859375,3206.52001953125,2381781,3206.52001953125
2020-12-23,3210.1298828125,3184.169921875,3205.0,3185.27001953125,2093787,3185.27001953125
2020-12-24,3202.0,3169.0,3193.89990234375,3172.68994140625,1451917,3172.68994140625
2020-12-28,3304.0,3172.68994140625,3194.0,3283.9599609375,5686787,3283.9599609375
2020-12-29,3350.64990234375,3281.222900390625,3309.93994140625,3322.0,4872933,3322.0
2020-12-30,3342.10009765625,3282.469970703125,3341.0,3285.85009765625,3209310,3285.85009765625
2020-12-31,3282.921875,3241.199951171875,3275.0,3256.929931640625,2957206,3256.929931640625
2021-01-04,3272.0,3144.02001953125,3270.0,3186.6298828125,4411449,3186.6298828125
2021-01-05,3223.3798828125,3165.06005859375,3166.010009765625,3218.510009765625,2655548,3218.510009765625
2021-01-06,3197.509033203125,3131.159912109375,3146.47998046875,3138.3798828125,4394815,3138.3798828125
2021-01-07,3208.5419921875,3155.0,3157.0,3162.159912109375,3514545,3162.159912109375
2021-01-08,3190.639892578125,3142.199951171875,3180.0,3182.699951171875,3537744,3182.699951171875
2021-01-11,3156.384033203125,3110.0,3148.010009765625,3114.2099609375,3669095,3114.2099609375
2021-01-12,3142.141845703125,3086.0,3120.0,3120.830078125,3514582,3120.830078125
2021-01-13,3189.949951171875,3122.080078125,3128.43994140625,3165.889892578125,3321244,3165.889892578125
2021-01-14,3178.0,3120.590087890625,3167.52001953125,3127.469970703125,3070919,3127.469970703125
2021-01-15,3142.544921875,3095.169921875,3123.02001953125,3104.25,4243995,3104.25
2021-01-19,3145.0,3096.0,3107.0,3120.760009765625,3305142,3120.760009765625
2021-01-20,3279.800048828125,3175.0,3181.989990234375,3263.3798828125,5309835,3263.3798828125
2021-01-21,3348.550048828125,3289.5673828125,3293.0,3306.989990234375,4945051,3306.989990234375
2021-01-22,3321.909912109375,3283.164306640625,3304.31005859375,3292.22998046875,2821914,3292.22998046875
2021-01-25,3363.889892578125,3243.146240234375,3328.5,3294.0,3749758,3294.0
2021-01-26,3338.0,3282.8701171875,3296.35595703125,3326.1298828125,2955235,3326.1298828125
2021-01-27,3346.52001953125,3207.080078125,3341.489990234375,3232.580078125,4660158,3232.580078125
2021-01-28,3301.679931640625,3228.68994140625,3235.0400390625,3237.6201171875,3149228,3237.6201171875
2021-01-29,3236.989990234375,3184.550048828125,3230.0,3206.199951171875,4293556,3206.199951171875
2021-02-01,3350.260009765625,3235.02490234375,3242.360107421875,3342.8798828125,4160212,3342.8798828125
2021-02-02,3427.739990234375,3361.125,3380.0,3380.0,7098637,3380.0
2021-02-03,3434.0,3308.6201171875,3425.010009765625,3312.530029296875,7088781,3312.530029296875
2021-02-04,3347.0,3277.75,3330.0,3331.0,3670661,3331.0
2021-02-05,3377.0,3302.7099609375,3319.0,3352.14990234375,3620808,3352.14990234375
2021-02-08,3365.0,3304.0,3358.5,3322.93994140625,3257391,3322.93994140625
2021-02-09,3338.0,3297.840087890625,3312.489990234375,3305.0,2203526,3305.0
2021-02-10,3317.954833984375,3254.0,3314.0,3286.580078125,3151550,3286.580078125
2021-02-11,3292.0,3248.06005859375,3292.0,3262.1298828125,2301417,3262.1298828125
2021-02-12,3280.25,3233.31005859375,3250.0,3277.7099609375,2335339,3277.7099609375
2021-02-16,3308.300048828125,3253.591064453125,3254.050048828125,3268.949951171875,2574721,3268.949951171875
2021-02-17,3320.909912109375,3259.49951171875,3263.60009765625,3308.639892578125,3302099,3308.639892578125
2021-02-18,3338.0,3273.93994140625,3282.419921875,3328.22998046875,3033607,3328.22998046875
2021-02-19,3333.5,3245.75,3328.22998046875,3249.89990234375,4305184,3249.89990234375
2021-02-22,3232.31982421875,3172.260009765625,3208.1298828125,3180.739990234375,3515679,3180.739990234375
2021-02-23,3204.72998046875,3093.60009765625,3127.030029296875,3194.5,4677222,3194.5
2021-02-24,3171.22998046875,3125.3798828125,3166.75,3159.530029296875,3011275,3159.530029296875
2021-02-25,3178.260009765625,3047.760009765625,3136.739990234375,3057.159912109375,4533801,3057.159912109375
2021-02-26,3122.43994140625,3036.699951171875,3095.199951171875,3092.929931640625,4275930,3092.929931640625
2021-03-01,3149.56005859375,3097.989990234375,3127.889892578125,3146.139892578125,2733963,3146.139892578125
2021-03-02,3163.52001953125,3087.1201171875,3143.469970703125,3094.530029296875,2595762,3094.530029296875
2021-03-03,3107.77490234375,2995.0,3081.179931640625,3005.0,3988725,3005.0
2021-03-04,3058.1298828125,2945.429931640625,3012.0,2977.570068359375,5481578,2977.570068359375
2021-03-05,3009.0,2881.0,3005.0,3000.4599609375,5388551,3000.4599609375
2021-03-08,3064.590087890625,2951.31005859375,3015.0,2951.949951171875,4185008,2951.949951171875
2021-03-09,3090.9599609375,3005.1474609375,3017.989990234375,3062.85009765625,4030032,3062.85009765625
2021-03-10,3116.4599609375,3030.050048828125,3098.449951171875,3057.639892578125,3012489,3057.639892578125
2021-03-11,3131.7841796875,3082.929931640625,3104.010009765625,3113.590087890625,2776391,3113.590087890625
2021-03-12,3098.97998046875,3045.5,3075.0,3089.489990234375,2421888,3089.489990234375
2021-03-15,3082.239990234375,3032.090087890625,3074.570068359375,3081.679931640625,2918592,3081.679931640625
2021-03-16,3128.909912109375,3075.860107421875,3104.969970703125,3091.860107421875,2538764,3091.860107421875
2021-03-17,3173.050048828125,3070.219970703125,3073.219970703125,3135.72998046875,3118584,3135.72998046875
2021-03-18,3116.6298828125,3025.0,3101.0,3027.989990234375,3657027,3027.989990234375
2021-03-19,3077.284912109375,3016.6298828125,3029.22998046875,3074.9599609375,4625354,3074.9599609375
2021-03-22,3126.580078125,3060.050048828125,3067.85009765625,3110.8701171875,2902179,3110.8701171875
2021-03-23,3182.0,3120.85009765625,3127.0,3137.5,3817263,3137.5
2021-03-24,3160.31005859375,3085.14990234375,3151.0400390625,3087.070068359375,2958981,3087.070068359375
2021-03-25,3109.780029296875,3037.139892578125,3072.989990234375,3046.260009765625,3563469,3046.260009765625
2021-03-26,3056.659912109375,2996.0,3044.06005859375,3052.030029296875,3312924,3052.030029296875
2021-03-29,3091.25,3028.445068359375,3055.439453125,3075.72998046875,2745968,3075.72998046875
2021-03-30,3073.0,3034.0,3070.010009765625,3055.2900390625,2337603,3055.2900390625
2021-03-31,3119.330078125,3062.5,3064.06005859375,3094.080078125,3093896,3094.080078125
