Date,High,Low,Open,Close,Volume,Adj Close
2020-12-14,405.8900146484375,400.0,400.0,400.4599914550781,241287.0,394.60296630859375
2020-12-15,408.0828857421875,401.54998779296875,403.510009765625,405.6000061035156,212588.0,399.66778564453125
2020-12-16,408.32000732421875,402.0400085449219,405.2799987792969,406.3800048828125,255878.0,400.4364013671875
2020-12-17,411.0799865722656,407.0400085449219,407.5799865722656,410.0400085449219,259144.0,404.0428466796875
2020-12-18,411.7099914550781,404.54998779296875,410.4700012207031,410.4599914550781,536557.0,404.4566955566406
2020-12-21,414.010009765625,401.6000061035156,405.0,411.7799987792969,317379.0,405.75738525390625
2020-12-22,413.739990234375,410.0,413.45001220703125,410.3299865722656,262546.0,404.3285827636719
2020-12-23,412.375,403.43499755859375,410.1000061035156,410.6600036621094,321100.0,404.6537780761719
2020-12-24,416.0400085449219,410.3699951171875,410.3699951171875,415.57000732421875,152847.0,409.4919738769531
2020-12-28,422.55828857421875,413.8900146484375,418.3500061035156,414.29998779296875,203674.0,408.2405090332031
2020-12-29,416.6499938964844,405.5899963378906,415.6400146484375,407.2799987792969,202601.0,401.3232116699219
2020-12-30,409.7699890136719,402.9599914550781,407.1499938964844,406.8299865722656,179867.0,400.8797607421875
2020-12-31,408.8500061035156,402.30999755859375,405.7200012207031,408.3399963378906,223516.0,402.36767578125
2021-01-04,411.489990234375,391.1700134277344,410.44000244140625,393.7200012207031,432715.0,387.9615478515625
2021-01-05,398.75,392.92999267578125,392.92999267578125,394.8599853515625,381783.0,389.0848388671875
2021-01-06,401.2099914550781,394.45001220703125,395.8999938964844,397.1700134277344,377897.0,391.3611145019531
2021-01-07,400.8900146484375,391.3999938964844,398.25,400.010009765625,319949.0,394.1595458984375
2021-01-08,404.1600036621094,388.32501220703125,403.4700012207031,396.67999267578125,418428.0,390.8782653808594
2021-01-11,395.81500244140625,391.0799865722656,393.739990234375,391.7099914550781,336639.0,385.9809265136719
2021-01-12,402.5799865722656,390.8399963378906,393.6199951171875,401.6600036621094,350615.0,395.785400390625
2021-01-13,402.1600036621094,387.4100036621094,401.4700012207031,388.489990234375,400384.0,382.80804443359375
2021-01-14,392.0799865722656,382.010009765625,389.57000732421875,383.3999938964844,323143.0,377.79248046875
2021-01-15,390.260009765625,378.3699951171875,382.0,388.6600036621094,852540.0,382.9755554199219
2021-01-19,395.42999267578125,388.6600036621094,391.5299987792969,394.489990234375,340250.0,388.7202453613281
2021-01-20,396.05999755859375,388.3299865722656,396.05999755859375,392.9599914550781,307883.0,387.2126159667969
2021-01-21,395.92999267578125,389.7200012207031,392.0,391.1499938964844,316550.0,385.4291076660156
2021-01-22,395.8399963378906,386.57000732421875,389.7099914550781,393.489990234375,248440.0,387.7348937988281
2021-01-25,394.7799987792969,386.69000244140625,393.45001220703125,387.94000244140625,306466.0,382.26605224609375
2021-01-26,389.7149963378906,376.5050048828125,388.0199890136719,376.69000244140625,346307.0,371.18060302734375
